,MARYLAND,SOUTHERN EASTERN,SHORE              01,ASSATEAGUE               ,PRINCESS ANNE            ,SALISBURY                ,SALISBURY POLICE BRKS    ,SALISBURY FAA AP         ,SNOW HILL 4 N            ,--DIVISIONAL DATA------->,CENTRAL EASTERN,SHORE              02,ROYAL OAK 2 SSW          ,VIENNA                   ,--DIVISIONAL DATA------->,LOWER SOUTHERN     03,MECHANICSVILLE 5 NE      ,SOLOMONS                 ,--DIVISIONAL DATA------->,UPPER SOUTHERN     04,ANNAPOLIS POLICE BRKS    ,BALTIMORE WASH INTL AP  R,BELTSVILLE               ,DALECARLIA RESERVOIR     ,GLENN DALE BELL STN      ,MD SCI CTR BALTIMORE    R,NATIONAL ARBORETUM DC    ,OXON HILL                ,UPPER MARLBORO 3 NNW     ,--DIVISIONAL DATA------->,NORTHERN EASTERN,SHORE              05,CHESTERTOWN              ,--DIVISIONAL DATA------->,NORTHERN CENTRAL   06,ABERDEEN PHILLIPS FLD    ,CATOCTIN MOUNTAIN PARK   ,CONOWINGO DAM            ,CYLBURN                  ,DAMASCUS 3 SSW           ,EMMITSBURG 2 SE          ,FREDERICK 2 NNE,MILLERS 4 NE             ,PORT DEPOSIT 2 NE        ,ROCKVILLE 1 NE           ,SMITHSBURG 2NW           ,--DIVISIONAL DATA------->,APPALACHIAN,MOUNTAIN           07,CUMBERLAND 2             ,CUMBERLAND POLICE BRK    ,FROSTBURG 2              ,HAGERSTOWN POLICE BRK    ,SHARPSBURG 5 S           ,WILLIAMSPORT             ,--DIVISIONAL DATA------->,ALLEGHENY PLATEAU  08,OAKLAND 1 SE             ,SAVAGE RIVER DAM         ,--DIVISIONAL DATA------->,DELAWARE,NORTHERN           01,BEAR 2 SW                ,NEWARK UNIV FARM         ,WILMINGTON NEW CASTLE   R,WILMINGTON PORTER RSVR   ,--DIVISIONAL DATA------->,SOUTHERN           02,DOVER                    ,GREENWOOD 2NE            ,LEWES                    ,SMYRNA 1 W               ,--DIVISIONAL DATA------->
Jun_Temp_05,70.0,72.62745098039215,74.0,75.0,70.0,73.0,72.0,75.0,74.0,74.0,71.0,75.0,73.0,75.0,73.0,73.0,74.0,72.0,76.0,72.62745098039215,75.0,73.0,74.0,74.0,74.0,75.0,71.0,75.0,72.62745098039215,71.0,71.0,74.0,72.62745098039215,72.62745098039215,72.62745098039215,72.62745098039215,72.62745098039215,72.62745098039215,72.62745098039215,72.62745098039215,72.62745098039215,72.62745098039215,72.0,73.0,70.0,72.0,72.0,74.0,71.0,67.0,73.0,72.0,72.0,71.0,72.62745098039215,68.0,68.0,73.0,72.62745098039215,72.0,73.0,73.0,73.0,72.0,74.0,72.62745098039215,73.0,72.62745098039215,72.62745098039215,72.62745098039215,72.62745098039215,72.62745098039215,72.62745098039215
Jun_Depart_05,1.71875,1.71875,1.0,1.71875,1.0,1.71875,1.0,1.71875,1.0,2.0,1.71875,1.71875,2.0,2.0,1.0,1.0,1.0,2.0,1.71875,1.71875,1.71875,2.0,2.0,1.0,2.0,3.0,2.0,3.0,1.71875,1.71875,1.0,1.71875,1.71875,1.71875,1.71875,1.71875,1.71875,1.71875,1.71875,1.71875,1.71875,1.71875,2.0,1.71875,1.71875,1.71875,2.0,3.0,1.71875,2.0,1.71875,1.71875,1.71875,3.0,1.71875,2.0,3.0,1.71875,1.71875,1.0,2.0,1.0,1.71875,1.0,1.0,1.71875,1.0,1.71875,1.71875,1.71875,1.71875,1.71875,1.71875
Jul_Temp_05,78.0,77.42857142857143,80.0,80.0,76.0,78.0,79.0,80.0,80.0,80.0,77.0,81.0,79.0,77.42857142857143,78.0,77.0,80.0,77.0,81.0,80.0,79.0,78.0,79.0,79.0,79.0,77.42857142857143,74.0,79.0,77.42857142857143,75.0,77.42857142857143,77.0,77.42857142857143,77.42857142857143,77.42857142857143,77.42857142857143,77.42857142857143,77.42857142857143,77.42857142857143,77.42857142857143,77.42857142857143,77.42857142857143,75.0,77.0,75.0,76.0,76.0,78.0,75.0,71.0,77.0,76.0,77.0,75.0,77.42857142857143,72.0,72.0,77.0,78.0,77.0,77.0,77.0,78.0,77.42857142857143,79.0,77.42857142857143,79.0,77.42857142857143,77.42857142857143,77.42857142857143,77.42857142857143,77.42857142857143,77.42857142857143
Jul_Depart_05,3.0,1.8709677419354838,2.0,1.8709677419354838,1.8709677419354838,1.0,2.0,1.0,2.0,2.0,1.8709677419354838,1.8709677419354838,3.0,1.8709677419354838,1.0,1.0,2.0,2.0,1.8709677419354838,2.0,1.8709677419354838,2.0,2.0,1.0,2.0,1.8709677419354838,1.0,3.0,1.8709677419354838,1.8709677419354838,1.8709677419354838,1.8709677419354838,1.8709677419354838,1.8709677419354838,1.8709677419354838,1.8709677419354838,1.8709677419354838,1.8709677419354838,1.8709677419354838,1.8709677419354838,1.8709677419354838,1.8709677419354838,1.0,1.8709677419354838,1.8709677419354838,1.8709677419354838,1.0,3.0,1.8709677419354838,2.0,1.8709677419354838,1.8709677419354838,1.8709677419354838,3.0,1.8709677419354838,2.0,3.0,1.8709677419354838,1.0,1.8709677419354838,2.0,1.0,1.8709677419354838,1.8709677419354838,2.0,1.8709677419354838,2.0,1.8709677419354838,1.8709677419354838,1.8709677419354838,1.8709677419354838,1.8709677419354838,1.8709677419354838
Aug_Temp_05,78.0,77.05882352941177,79.0,79.0,76.0,78.0,78.0,79.0,79.0,79.0,76.0,81.0,78.0,81.0,77.0,77.0,78.0,77.0,81.0,77.05882352941177,79.0,77.0,78.0,78.0,78.0,78.0,74.0,79.0,77.05882352941177,75.0,77.05882352941177,76.0,77.05882352941177,77.05882352941177,77.05882352941177,77.05882352941177,77.05882352941177,77.05882352941177,77.05882352941177,77.05882352941177,77.05882352941177,77.05882352941177,75.0,77.0,77.0,75.0,76.0,79.0,74.0,70.0,77.0,75.0,76.0,75.0,77.05882352941177,71.0,71.0,78.0,78.0,77.0,77.0,78.0,78.0,76.0,79.0,77.05882352941177,78.0,77.05882352941177,77.05882352941177,77.05882352941177,77.05882352941177,77.05882352941177,77.05882352941177
Aug_Depart_05,3.0,3.108108108108108,3.0,3.108108108108108,3.108108108108108,3.0,3.0,3.0,3.0,3.0,1.0,3.108108108108108,3.0,6.0,3.0,2.0,2.0,3.0,3.108108108108108,3.108108108108108,3.108108108108108,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.108108108108108,3.108108108108108,3.108108108108108,3.108108108108108,3.108108108108108,3.108108108108108,3.108108108108108,3.108108108108108,3.108108108108108,3.108108108108108,3.108108108108108,3.108108108108108,3.108108108108108,3.108108108108108,2.0,3.108108108108108,4.0,3.108108108108108,3.0,6.0,3.108108108108108,3.0,3.108108108108108,3.108108108108108,3.108108108108108,4.0,3.108108108108108,3.0,4.0,3.108108108108108,4.0,2.0,4.0,3.0,2.0,3.0,4.0,3.108108108108108,3.0,3.108108108108108,3.108108108108108,3.108108108108108,3.108108108108108,3.108108108108108,3.108108108108108
Sep_Temp_05,74.0,71.03921568627452,74.0,71.03921568627452,69.0,72.0,72.0,73.0,73.0,73.0,69.0,75.0,72.0,75.0,72.0,71.0,74.0,71.0,76.0,74.0,73.0,71.0,73.0,73.0,73.0,72.0,68.0,71.03921568627452,71.03921568627452,69.0,71.03921568627452,70.0,71.03921568627452,71.03921568627452,71.03921568627452,71.03921568627452,71.03921568627452,71.03921568627452,71.03921568627452,71.03921568627452,71.03921568627452,71.03921568627452,70.0,71.0,71.0,69.0,70.0,73.0,68.0,65.0,71.0,68.0,70.0,69.0,62.0,65.0,64.0,70.0,73.0,71.0,71.0,71.0,73.0,71.0,74.0,71.03921568627452,72.0,71.03921568627452,71.03921568627452,71.03921568627452,71.03921568627452,71.03921568627452,71.03921568627452
Sep_Depart_05,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,4.0,7.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,7.0,4.0,5.0,4.0,4.0,4.0,5.0,1.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Oct_Temp_05,62.0,57.38,61.0,62.0,57.0,60.0,60.0,60.0,61.0,61.0,56.0,61.0,59.0,57.38,57.0,58.0,59.0,57.0,60.0,59.0,59.0,58.0,58.0,58.0,58.0,57.38,54.0,57.38,57.0,56.0,57.38,57.0,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,57.38,56.0,56.0,57.0,55.0,56.0,58.0,56.0,51.0,57.0,55.0,55.0,55.0,50.0,52.0,51.0,56.0,57.38,57.0,57.0,57.0,60.0,57.0,61.0,57.38,59.0,57.38,57.38,57.38,57.38,57.38,57.38
Oct_Depart_05,2.0,1.8064516129032258,2.0,1.8064516129032258,1.8064516129032258,2.0,2.0,1.8064516129032258,3.0,3.0,1.8064516129032258,1.8064516129032258,2.0,1.8064516129032258,2.0,2.0,2.0,2.0,1.8064516129032258,2.0,1.8064516129032258,2.0,2.0,1.0,1.0,1.8064516129032258,1.8064516129032258,1.8064516129032258,1.8064516129032258,1.8064516129032258,1.8064516129032258,1.8064516129032258,1.8064516129032258,1.8064516129032258,1.8064516129032258,1.8064516129032258,1.8064516129032258,1.8064516129032258,1.8064516129032258,1.8064516129032258,1.8064516129032258,1.8064516129032258,1.0,1.8064516129032258,2.0,1.8064516129032258,1.0,4.0,1.8064516129032258,1.0,1.8064516129032258,1.8064516129032258,1.8064516129032258,3.0,1.8064516129032258,2.0,2.0,1.8064516129032258,1.8064516129032258,1.0,1.0,1.0,1.0,1.0,1.0,1.8064516129032258,2.0,1.8064516129032258,1.8064516129032258,1.8064516129032258,1.8064516129032258,1.8064516129032258,1.8064516129032258
Nov_Temp_05,52.0,48.3125,53.0,53.0,48.0,52.0,52.0,52.0,52.0,52.0,48.0,55.0,51.0,48.3125,48.0,48.0,49.0,48.0,51.0,50.0,49.0,48.0,49.0,48.0,48.0,48.3125,46.0,48.3125,48.3125,46.0,48.3125,46.0,48.3125,48.3125,48.3125,48.3125,48.3125,48.3125,48.3125,48.3125,48.3125,48.3125,47.0,47.0,47.0,46.0,46.0,46.0,45.0,42.0,48.0,49.0,48.3125,46.0,40.0,42.0,41.0,46.0,48.3125,47.0,48.0,47.0,52.0,49.0,53.0,48.3125,51.0,48.3125,48.3125,48.3125,48.3125,48.3125,48.3125
Nov_Depart_05,2.0,2.3636363636363638,3.0,2.3636363636363638,2.3636363636363638,3.0,3.0,2.0,2.0,4.0,2.3636363636363638,2.3636363636363638,4.0,2.3636363636363638,2.0,1.0,2.0,3.0,2.3636363636363638,3.0,2.3636363636363638,2.0,2.0,1.0,2.0,2.3636363636363638,2.0,2.3636363636363638,2.3636363636363638,2.3636363636363638,2.3636363636363638,2.3636363636363638,2.3636363636363638,2.3636363636363638,2.3636363636363638,2.3636363636363638,2.3636363636363638,2.3636363636363638,2.3636363636363638,2.3636363636363638,2.3636363636363638,2.3636363636363638,2.0,2.3636363636363638,2.0,2.3636363636363638,1.0,2.0,2.3636363636363638,3.0,2.3636363636363638,2.3636363636363638,2.3636363636363638,3.0,2.3636363636363638,2.0,2.0,2.3636363636363638,2.3636363636363638,2.0,2.0,1.0,3.0,3.0,3.0,2.3636363636363638,4.0,2.3636363636363638,2.3636363636363638,2.3636363636363638,2.3636363636363638,2.3636363636363638,2.3636363636363638
Dec_Temp_05,39.0,33.38297872340426,38.0,38.0,35.0,37.0,37.0,37.0,38.0,38.0,34.0,37.0,36.0,33.38297872340426,34.0,34.0,35.0,34.0,36.0,35.0,35.0,34.0,35.0,34.0,34.0,33.38297872340426,29.0,33.38297872340426,32.0,31.0,33.38297872340426,31.0,33.38297872340426,33.38297872340426,33.38297872340426,33.38297872340426,33.38297872340426,33.38297872340426,33.38297872340426,33.38297872340426,33.38297872340426,33.38297872340426,31.0,32.0,34.0,29.0,31.0,32.0,33.38297872340426,25.0,33.38297872340426,30.0,31.0,29.0,25.0,27.0,26.0,33.0,33.38297872340426,33.0,33.0,33.0,33.38297872340426,35.0,37.0,33.38297872340426,36.0,33.38297872340426,33.38297872340426,33.38297872340426,33.38297872340426,33.38297872340426,33.38297872340426
Dec_Depart_05,1.0,2.7142857142857144,2.0,2.7142857142857144,5.0,3.0,2.0,3.0,1.0,1.0,5.0,2.7142857142857144,2.0,2.7142857142857144,2.0,3.0,2.0,2.0,2.7142857142857144,2.0,2.7142857142857144,2.0,2.0,3.0,3.0,2.7142857142857144,4.0,2.7142857142857144,2.7142857142857144,2.7142857142857144,2.7142857142857144,2.7142857142857144,2.7142857142857144,2.7142857142857144,2.7142857142857144,2.7142857142857144,2.7142857142857144,2.7142857142857144,2.7142857142857144,2.7142857142857144,2.7142857142857144,2.7142857142857144,4.0,2.7142857142857144,2.0,2.7142857142857144,4.0,2.0,2.7142857142857144,3.0,2.7142857142857144,2.7142857142857144,2.7142857142857144,3.0,6.0,3.0,4.0,2.7142857142857144,2.7142857142857144,2.0,2.0,3.0,2.7142857142857144,2.0,3.0,2.7142857142857144,2.0,2.7142857142857144,2.7142857142857144,2.7142857142857144,2.7142857142857144,2.7142857142857144,2.7142857142857144
Ann_Temp_05,57.0,54.84615384615385,58.0,54.84615384615385,54.0,57.0,57.0,58.0,58.0,58.0,54.0,59.0,57.0,54.84615384615385,55.0,55.0,56.0,54.0,58.0,54.84615384615385,57.0,55.0,56.0,56.0,56.0,54.84615384615385,52.0,54.84615384615385,54.84615384615385,53.0,54.84615384615385,54.84615384615385,54.84615384615385,54.84615384615385,54.84615384615385,54.84615384615385,54.84615384615385,54.84615384615385,54.84615384615385,54.84615384615385,54.84615384615385,54.84615384615385,53.0,54.0,54.0,52.0,54.0,55.0,54.84615384615385,48.0,54.84615384615385,53.0,54.84615384615385,53.0,54.84615384615385,49.0,49.0,54.84615384615385,54.84615384615385,54.0,54.0,54.0,54.84615384615385,54.84615384615385,57.0,54.84615384615385,56.0,54.84615384615385,54.84615384615385,54.84615384615385,54.84615384615385,54.84615384615385,54.84615384615385
Ann_Depart_05,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0,1.0,1.0666666666666667,1.0,1.0666666666666667,1.0,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0,1.0,1.0666666666666667,1.0,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,2.0,1.0666666666666667,1.0,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0,1.0666666666666667,1.0,1.0,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667
Jan_Temp_06,44.0,40.47826086956522,45.0,42.0,44.0,44.0,44.0,44.0,44.0,41.0,43.0,42.0,41.0,40.0,41.0,41.0,43.0,41.0,42.0,41.0,41.0,40.0,40.0,40.47826086956522,37.0,40.47826086956522,40.47826086956522,39.0,39.0,39.0,39.0,41.0,40.47826086956522,40.47826086956522,40.47826086956522,40.47826086956522,40.47826086956522,40.47826086956522,40.47826086956522,40.47826086956522,40.47826086956522,40.47826086956522,39.0,39.0,40.0,40.47826086956522,34.0,40.47826086956522,39.0,38.0,38.0,35.0,35.0,35.0,39.0,40.47826086956522,39.0,39.0,39.0,43.0,41.0,45.0,43.0,40.47826086956522,40.47826086956522,40.47826086956522,40.47826086956522,40.47826086956522,40.47826086956522,,,,
Jan_Depart_06,7.0,8.083333333333334,8.0,6.0,7.0,8.0,8.0,8.0,9.0,6.0,8.083333333333334,8.0,9.0,8.0,7.0,9.0,8.083333333333334,8.0,8.083333333333334,8.0,8.0,7.0,7.0,8.083333333333334,8.0,8.083333333333334,8.083333333333334,8.083333333333334,8.083333333333334,9.0,8.083333333333334,9.0,8.083333333333334,8.083333333333334,8.083333333333334,8.083333333333334,8.083333333333334,8.083333333333334,8.083333333333334,8.083333333333334,8.083333333333334,8.083333333333334,8.0,10.0,8.083333333333334,10.0,8.083333333333334,8.083333333333334,8.083333333333334,9.0,8.0,9.0,9.0,8.083333333333334,8.083333333333334,8.0,9.0,7.0,8.0,8.0,8.0,8.0,8.083333333333334,8.083333333333334,8.083333333333334,8.083333333333334,8.083333333333334,8.083333333333334,8.083333333333334,,,,
